date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:08	1474/1474	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Feb%202024%2012:57:07%20GMT	https://arino-html.vercel.app/robots.txt		(from )
18:27:08	108002/108002	---MCZ	200	added ('OK')	text/html	etag:W/%22abac02602b673aa9a339a1681999c371%22	https://arino-html.vercel.app/	D:/tesdf/Template/arino-html.vercel.app/index.html	(from )
18:27:08	719/719	---M--	200	added ('OK')	image/png	etag:%22aa13f16475cbfcc1c50eaa9ef371bae4%22	https://arino-html.vercel.app/assets/img/favicon.png	D:/tesdf/Template/arino-html.vercel.app/assets/img/favicon.png	(from https://arino-html.vercel.app/)
18:27:08	193528/193528	---MCZ	200	added ('OK')	text/css	etag:W/%22bfca1b85a7b4e7962a388d02cfbd5b4e%22	https://arino-html.vercel.app/assets/css/plugins/bootstrap.min.css	D:/tesdf/Template/arino-html.vercel.app/assets/css/plugins/bootstrap.min.css	(from https://arino-html.vercel.app/)
18:27:08	101895/101895	---MCZ	200	added ('OK')	text/css	etag:W/%22b9f88baef26b344c53765646d5a91a96%22	https://arino-html.vercel.app/assets/css/plugins/fontawesome.min.css	D:/tesdf/Template/arino-html.vercel.app/assets/css/plugins/fontawesome.min.css	(from https://arino-html.vercel.app/)
18:27:09	1652/1652	---MCZ	200	added ('OK')	text/css	etag:W/%222b276e92d24ab33052c8a9006231f6db%22	https://arino-html.vercel.app/assets/css/plugins/slick.css	D:/tesdf/Template/arino-html.vercel.app/assets/css/plugins/slick.css	(from https://arino-html.vercel.app/)
18:27:09	24243/24243	---MCZ	200	added ('OK')	text/css	etag:W/%22a3fadfb566b06fa65bf4abc4ad697f97%22	https://arino-html.vercel.app/assets/css/plugins/lightgallery.min.css	D:/tesdf/Template/arino-html.vercel.app/assets/css/plugins/lightgallery.min.css	(from https://arino-html.vercel.app/)
18:27:09	77773/77773	---MCZ	200	added ('OK')	text/css	etag:W/%229cbe44ac7f70e6eef4943899d18b1cea%22	https://arino-html.vercel.app/assets/css/plugins/animate.css	D:/tesdf/Template/arino-html.vercel.app/assets/css/plugins/animate.css	(from https://arino-html.vercel.app/)
18:27:09	208483/208483	---MCZ	200	added ('OK')	text/css	etag:W/%228fb5c9a5aae7844aa83cc50a419c4a7d%22	https://arino-html.vercel.app/assets/css/style.css	D:/tesdf/Template/arino-html.vercel.app/assets/css/style.css	(from https://arino-html.vercel.app/)
18:27:10	108002/108002	---MCZ	200	added ('OK')	text/html	etag:W/%22abac02602b673aa9a339a1681999c371%22	https://arino-html.vercel.app/index.html	D:/tesdf/Template/arino-html.vercel.app/index-2.html	(from https://arino-html.vercel.app/)
18:27:10	2321/2321	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22005765b0edbf2cf0f54d6dcedafc7921%22	https://arino-html.vercel.app/assets/img/logo.svg	D:/tesdf/Template/arino-html.vercel.app/assets/img/logo.svg	(from https://arino-html.vercel.app/)
18:27:10	37604/37604	---M--	200	added ('OK')	image/jpeg	etag:%2207eba320c879fbcbd75d9238895bd890%22	https://arino-html.vercel.app/assets/img/demo/main-home.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/main-home.jpeg	(from https://arino-html.vercel.app/)
18:27:10	104324/104324	---MCZ	200	added ('OK')	text/html	etag:W/%229661bb684bc6af2e61eb2cd67236fbb4%22	https://arino-html.vercel.app/architecture-agency.html	D:/tesdf/Template/arino-html.vercel.app/architecture-agency.html	(from https://arino-html.vercel.app/)
18:27:10	44221/44221	---M--	200	added ('OK')	image/jpeg	etag:%22c8799393b030e7fda205fbd5164ddb99%22	https://arino-html.vercel.app/assets/img/demo/architecture-agency.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/architecture-agency.jpeg	(from https://arino-html.vercel.app/)
18:27:11	113415/113415	---MCZ	200	added ('OK')	text/html	etag:W/%2278543ddad13e033b49de822d61f16396%22	https://arino-html.vercel.app/photography-agency.html	D:/tesdf/Template/arino-html.vercel.app/photography-agency.html	(from https://arino-html.vercel.app/)
18:27:11	32624/32624	---M--	200	added ('OK')	image/jpeg	etag:%223fa0f72a0926ab95156e0d44e3c20ce2%22	https://arino-html.vercel.app/assets/img/demo/photography-agency.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/photography-agency.jpeg	(from https://arino-html.vercel.app/)
18:27:11	62410/62410	---MCZ	200	added ('OK')	text/html	etag:W/%2218f7e8aa62310800c3f71f4f2b47ec22%22	https://arino-html.vercel.app/creative-solution.html	D:/tesdf/Template/arino-html.vercel.app/creative-solution.html	(from https://arino-html.vercel.app/)
18:27:11	29923/29923	---M--	200	added ('OK')	image/jpeg	etag:%220b76a7b27b6b277122868533a1004d71%22	https://arino-html.vercel.app/assets/img/demo/creative-solution.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/creative-solution.jpeg	(from https://arino-html.vercel.app/)
18:27:11	63061/63061	---MCZ	200	added ('OK')	text/html	etag:W/%22f39f8b66cafb5ef019ae3c784a9d5a1b%22	https://arino-html.vercel.app/creative-portfolio.html	D:/tesdf/Template/arino-html.vercel.app/creative-portfolio.html	(from https://arino-html.vercel.app/)
18:27:12	28910/28910	---M--	200	added ('OK')	image/jpeg	etag:%22a596885d62e80f6d1e6a1474314d6615%22	https://arino-html.vercel.app/assets/img/demo/portfolio.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/portfolio.jpeg	(from https://arino-html.vercel.app/)
18:27:12	72775/72775	---MCZ	200	added ('OK')	text/html	etag:W/%22719d065ca1676baeb487ee22791402c1%22	https://arino-html.vercel.app/personal-portfolio.html	D:/tesdf/Template/arino-html.vercel.app/personal-portfolio.html	(from https://arino-html.vercel.app/)
18:27:12	32126/32126	---M--	200	added ('OK')	image/jpeg	etag:%22121507274bd799361e9981bcc7f183c2%22	https://arino-html.vercel.app/assets/img/demo/personal-portfolio.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/personal-portfolio.jpeg	(from https://arino-html.vercel.app/)
18:27:12	73859/73859	---MCZ	200	added ('OK')	text/html	etag:W/%22124d9a6fb086ec7cde9e44fd2f35684f%22	https://arino-html.vercel.app/digital-agency.html	D:/tesdf/Template/arino-html.vercel.app/digital-agency.html	(from https://arino-html.vercel.app/)
18:27:12	32991/32991	---M--	200	added ('OK')	image/jpeg	etag:%2288e0d62358f1f6b3fd73ca63822d31f3%22	https://arino-html.vercel.app/assets/img/demo/digital-agency.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/digital-agency.jpeg	(from https://arino-html.vercel.app/)
18:27:13	33548/33548	---M--	200	added ('OK')	image/jpeg	etag:%2266c4b5bbbcee8d5b9e731868ad90d727%22	https://arino-html.vercel.app/assets/img/demo/rtl.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/rtl.jpeg	(from https://arino-html.vercel.app/)
18:27:13	106327/106327	---MCZ	200	added ('OK')	text/html	etag:W/%221d6564012f62f587301f8b99ec9af99d%22	https://arino-html.vercel.app/marketing-agency.html	D:/tesdf/Template/arino-html.vercel.app/marketing-agency.html	(from https://arino-html.vercel.app/)
18:27:13	40753/40753	---M--	200	added ('OK')	image/jpeg	etag:%22945d1dbf5d150d1f02f8dcd0a29c80e8%22	https://arino-html.vercel.app/assets/img/demo/marketing.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/marketing.jpeg	(from https://arino-html.vercel.app/)
18:27:13	22679/22679	---MCZ	200	added ('OK')	text/html	etag:W/%22915a5f56c6ec401b36969b6c7a57904e%22	https://arino-html.vercel.app/showcase-portfolio.html	D:/tesdf/Template/arino-html.vercel.app/showcase-portfolio.html	(from https://arino-html.vercel.app/)
18:27:14	21345/21345	---M--	200	added ('OK')	image/jpeg	etag:%22ae812f418d195a4afb686859463e9146%22	https://arino-html.vercel.app/assets/img/demo/portfolio-showcase.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/portfolio-showcase.jpeg	(from https://arino-html.vercel.app/)
18:27:14	23131/23131	---MCZ	200	added ('OK')	text/html	etag:W/%22e21139492fdf44e5eab049c97e5aa683%22	https://arino-html.vercel.app/case-study-showcase.html	D:/tesdf/Template/arino-html.vercel.app/case-study-showcase.html	(from https://arino-html.vercel.app/)
18:27:14	24473/24473	---M--	200	added ('OK')	image/jpeg	etag:%22749de2675d536ea71dc267ed973726cf%22	https://arino-html.vercel.app/assets/img/demo/case-study-showcase.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/case-study-showcase.jpeg	(from https://arino-html.vercel.app/)
18:27:14	67291/67291	---MCZ	200	added ('OK')	text/html	etag:W/%2255288a9b11eb29ba3dc4f4e5b0902e0d%22	https://arino-html.vercel.app/freelancer-agency.html	D:/tesdf/Template/arino-html.vercel.app/freelancer-agency.html	(from https://arino-html.vercel.app/)
18:27:14	36566/36566	---M--	200	added ('OK')	image/jpeg	etag:%2273761b3cdcaf4a857e970a5345c1664e%22	https://arino-html.vercel.app/assets/img/demo/freelancer-agency.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/freelancer-agency.jpeg	(from https://arino-html.vercel.app/)
18:27:15	23851/23851	---MCZ	200	added ('OK')	text/html	etag:W/%2233764d5a2f07f7b41c9675c7a4a5a891%22	https://arino-html.vercel.app/video-showcase.html	D:/tesdf/Template/arino-html.vercel.app/video-showcase.html	(from https://arino-html.vercel.app/)
18:27:15	17625/17625	---M--	200	added ('OK')	image/jpeg	etag:%226df84d7447d7588516d115399d34bb93%22	https://arino-html.vercel.app/assets/img/demo/video-showcase.jpeg	D:/tesdf/Template/arino-html.vercel.app/assets/img/demo/video-showcase.jpeg	(from https://arino-html.vercel.app/)
18:27:15	66054/66054	---MCZ	200	added ('OK')	text/html	etag:W/%2209a0cfae5a1c936003b9d32b961b6a07%22	https://arino-html.vercel.app/about.html	D:/tesdf/Template/arino-html.vercel.app/about.html	(from https://arino-html.vercel.app/)
18:27:15	87813/87813	---MCZ	200	added ('OK')	text/html	etag:W/%221335a21e33a10f38e70850a07c84ff03%22	https://arino-html.vercel.app/service.html	D:/tesdf/Template/arino-html.vercel.app/service.html	(from https://arino-html.vercel.app/)
18:27:15	67860/67860	---MCZ	200	added ('OK')	text/html	etag:W/%22087e7dde403ed309a9c389fefe07a6dd%22	https://arino-html.vercel.app/service-details.html	D:/tesdf/Template/arino-html.vercel.app/service-details.html	(from https://arino-html.vercel.app/)
